Area,Months,Year,Temperature change,RollingMean_5Y
France,January,1969,1.412,1.412
France,February,1969,-2.093,-2.093
France,March,1969,-0.21,-0.21
France,April,1969,-0.011,-0.011
France,May,1969,0.49,0.49
France,June,1969,-1.203,-1.203
France,July,1969,0.845,0.845
France,August,1969,0.079,0.079
France,September,1969,0.101,0.101
France,October,1969,1.576,1.576
France,November,1969,0.265,0.265
France,December,1969,-2.911,-2.911
France,,1969,-0.574,
France,,1969,0.09,
France,,1969,-0.093,
France,,1969,0.647,
France,,1969,0.018,
France,January,1970,0.917,1.1644999999999999
France,February,1970,0.072,-1.0105
France,March,1970,-2.248,-1.229
France,April,1970,-1.434,-0.7224999999999999
France,May,1970,-0.083,0.2035
France,June,1970,1.575,0.18599999999999994
France,July,1970,-0.377,0.23399999999999999
France,August,1970,0.411,0.245
France,September,1970,1.156,0.6285
France,October,1970,-0.277,0.6495
France,November,1970,1.999,1.1320000000000001
France,December,1970,-1.749,-2.33
France,,1970,-0.641,
France,,1970,-1.255,
France,,1970,0.536,
France,,1970,0.959,
France,,1970,-0.1,
France,January,1971,-0.025,0.7679999999999999
France,February,1971,-0.101,-0.7073333333333333
France,March,1971,-3.045,-1.8343333333333334
France,April,1971,1.486,0.013666666666666716
France,May,1971,0.882,0.42966666666666664
France,June,1971,-1.194,-0.274
France,July,1971,1.405,0.6243333333333333
France,August,1971,0.907,0.4656666666666667
France,September,1971,-0.069,0.39599999999999996
France,October,1971,0.866,0.7216666666666667
France,November,1971,-1.385,0.2930000000000001
France,December,1971,0.589,-1.357
France,,1971,-0.625,
France,,1971,-0.226,
France,,1971,0.373,
France,,1971,-0.196,
France,,1971,-0.168,
France,January,1972,-0.007,0.57425
France,February,1972,1.353,-0.19224999999999998
France,March,1972,1.335,-1.042
France,April,1972,-0.368,-0.08174999999999996
France,May,1972,-1.12,0.042249999999999954
France,June,1972,-1.773,-0.6487499999999999
France,July,1972,-0.224,0.41225
France,August,1972,-1.041,0.08900000000000002
France,September,1972,-2.611,-0.35575000000000007
France,October,1972,-0.741,0.356
France,November,1972,0.615,0.37350000000000005
France,December,1972,0.351,-0.93
France,,1972,0.645,
France,,1972,-0.051,
France,,1972,-1.013,
France,,1972,-0.912,
France,,1972,-0.333,
France,January,1973,-0.204,0.41859999999999997
France,February,1973,-0.953,-0.3444
France,March,1973,-0.803,-0.9942
France,April,1973,-1.664,-0.39819999999999994
France,May,1973,0.848,0.20339999999999997
France,June,1973,0.78,-0.363
France,July,1973,-0.054,0.319
France,August,1973,2.051,0.4814
France,September,1973,1.124,-0.059800000000000034
France,October,1973,-0.927,0.0994
France,November,1973,0.036,0.30600000000000005
France,December,1973,-0.585,-0.861
France,,1973,-0.269,
France,,1973,-0.54,
France,,1973,0.926,
France,,1973,0.078,
France,,1973,0.049,
France,January,1974,2.863,0.7088
France,February,1974,1.139,0.30200000000000005
France,March,1974,0.72,-0.8082
France,April,1974,0.049,-0.3862
France,May,1974,-0.522,0.0009999999999999564
France,June,1974,-0.259,-0.17419999999999997
France,July,1974,-0.521,0.045799999999999993
France,August,1974,0.676,0.6008
France,September,1974,-1.133,-0.30660000000000004
France,October,1974,-4.092,-1.0341999999999998
France,November,1974,0.539,0.36080000000000007
France,December,1974,2.37,0.19519999999999998
France,,1974,1.139,
France,,1974,0.082,
France,,1974,-0.035,
France,,1974,-1.562,
France,,1974,-0.094,
France,January,1975,2.95,1.1154
France,February,1975,1.357,0.5589999999999999
France,March,1975,-1.279,-0.6144000000000001
France,April,1975,-0.181,-0.1356
France,May,1975,-0.82,-0.14640000000000003
France,June,1975,-0.388,-0.5668
France,July,1975,0.785,0.2782
France,August,1975,1.732,0.8649999999999999
France,September,1975,0.457,-0.4464
France,October,1975,-1.068,-1.1924
France,November,1975,-0.285,-0.09599999999999999
France,December,1975,-1.326,0.2798
France,,1975,2.226,
France,,1975,-0.76,
France,,1975,0.71,
France,,1975,-0.299,
France,,1975,0.469,
France,January,1976,0.737,1.2678
France,February,1976,0.725,0.7242
France,March,1976,-0.61,-0.1274
France,April,1976,-0.396,-0.512
France,May,1976,0.963,-0.13020000000000007
France,June,1976,3.046,0.2812
France,July,1976,1.796,0.3564
France,August,1976,0.676,0.8187999999999999
France,September,1976,-1.072,-0.647
France,October,1976,0.145,-1.3366
France,November,1976,-0.442,0.0926
France,December,1976,-1.023,-0.04259999999999997
France,,1976,0.045,
France,,1976,-0.014,
France,,1976,1.839,
France,,1976,-0.456,
France,,1976,0.353,
France,January,1977,0.408,1.3508
France,February,1977,2.484,0.9503999999999999
France,March,1977,1.95,-0.004400000000000004
France,April,1977,-0.72,-0.5824
France,May,1977,-0.768,-0.059800000000000055
France,June,1977,-1.119,0.4119999999999999
France,July,1977,-0.633,0.27460000000000007
France,August,1977,-1.203,0.7864
France,September,1977,-1.075,-0.3398
France,October,1977,1.54,-0.8804000000000001
France,November,1977,0.241,0.017800000000000003
France,December,1977,1.209,0.12900000000000006
France,,1977,0.623,
France,,1977,0.154,
France,,1977,-0.985,
France,,1977,0.235,
France,,1977,0.007,
France,January,1978,-0.018,1.3880000000000001
France,February,1978,-0.022,1.1366
France,March,1978,0.76,0.3082
France,April,1978,-1.266,-0.5028
France,May,1978,-0.635,-0.35640000000000005
France,June,1978,-0.951,0.06579999999999997
France,July,1978,-1.001,0.08520000000000003
France,August,1978,-0.829,0.21039999999999998
France,September,1978,-0.074,-0.5793999999999999
France,October,1978,0.136,-0.6678
France,November,1978,-0.016,0.0074000000000000055
France,December,1978,1.019,0.44980000000000003
France,,1978,0.39,
France,,1978,-0.38,
France,,1978,-0.927,
France,,1978,0.015,
France,,1978,-0.226,
France,January,1979,-2.285,0.35839999999999994
France,February,1979,-0.08,0.8927999999999999
France,March,1979,0.098,0.18380000000000002
France,April,1979,-0.996,-0.7118
France,May,1979,-0.474,-0.34680000000000005
France,June,1979,0.445,0.20659999999999998
France,July,1979,0.151,0.21960000000000002
France,August,1979,-0.835,-0.09180000000000003
France,September,1979,-0.063,-0.3654
France,October,1979,0.89,0.3285999999999999
France,November,1979,-0.238,-0.148
France,December,1979,1.548,0.2854
France,,1979,-0.449,
France,,1979,-0.457,
France,,1979,-0.08,
France,,1979,0.196,
France,,1979,-0.198,
France,January,1980,-1.012,-0.43400000000000005
France,February,1980,2.123,1.046
France,March,1980,-0.416,0.3564
France,April,1980,-0.959,-0.8674
France,May,1980,-1.153,-0.41340000000000005
France,June,1980,-1.124,0.05939999999999994
France,July,1980,-1.777,-0.2928
France,August,1980,0.837,-0.27080000000000004
France,September,1980,1.056,-0.24559999999999996
France,October,1980,-0.766,0.3889999999999999
France,November,1980,-1.076,-0.3062
France,December,1980,-1.298,0.29100000000000004
France,,1980,0.886,
France,,1980,-0.843,
France,,1980,-0.688,
France,,1980,-0.262,
France,,1980,-0.227,
France,January,1981,-0.058,-0.5930000000000001
France,February,1981,-1.441,0.6128
France,March,1981,2.52,0.9823999999999999
France,April,1981,0.925,-0.6032
France,May,1981,-0.325,-0.671
France,June,1981,-0.083,-0.5664
France,July,1981,-0.797,-0.8113999999999999
France,August,1981,0.758,-0.25440000000000007
France,September,1981,0.588,0.0864
France,October,1981,-0.256,0.3087999999999999
France,November,1981,0.51,-0.11580000000000004
France,December,1981,-0.09,0.47759999999999997
France,,1981,-0.932,
France,,1981,1.04,
France,,1981,-0.041,
France,,1981,0.281,
France,,1981,0.087,
France,January,1982,1.702,-0.3342000000000001
France,February,1982,0.904,0.29680000000000006
France,March,1982,-0.318,0.5288
France,April,1982,-0.042,-0.4676000000000001
France,May,1982,0.594,-0.3986
France,June,1982,1.635,-0.015600000000000013
France,July,1982,1.959,-0.29299999999999987
France,August,1982,0.028,-0.00819999999999999
France,September,1982,1.832,0.6678000000000001
France,October,1982,-0.147,-0.028600000000000087
France,November,1982,1.545,0.14499999999999996
France,December,1982,0.714,0.37859999999999994
France,,1982,0.839,
France,,1982,0.078,
France,,1982,1.207,
France,,1982,1.077,
France,,1982,0.8,
France,January,1983,2.199,0.10919999999999988
France,February,1983,-1.89,-0.07679999999999994
France,March,1983,0.447,0.46620000000000006
France,April,1983,-0.011,-0.21660000000000004
France,May,1983,-1.071,-0.48580000000000007
France,June,1983,1.12,0.39859999999999995
France,July,1983,3.763,0.6598
France,August,1983,1.234,0.40440000000000004
France,September,1983,0.722,0.827
France,October,1983,0.364,0.016999999999999904
France,November,1983,0.886,0.32539999999999997
France,December,1983,0.236,0.22199999999999998
France,,1983,0.341,
France,,1983,-0.212,
France,,1983,2.039,
France,,1983,0.657,
France,,1983,0.706,
France,January,1984,0.935,0.7531999999999999
France,February,1984,-0.933,-0.24739999999999993
France,March,1984,-1.436,0.15940000000000007
France,April,1984,0.237,0.02999999999999997
France,May,1984,-2.462,-0.8834
France,June,1984,-0.276,0.25439999999999996
France,July,1984,0.585,0.7466000000000002
France,August,1984,0.247,0.6208
France,September,1984,-1.077,0.6241999999999999
France,October,1984,0.362,-0.0886000000000001
France,November,1984,2.409,0.8547999999999998
France,December,1984,0.373,-0.013000000000000012
France,,1984,0.079,
France,,1984,-1.22,
France,,1984,0.185,
France,,1984,0.565,
France,,1984,-0.098,
France,January,1985,-4.277,0.10019999999999989
France,February,1985,-0.112,-0.6944
France,March,1985,-1.333,-0.023999999999999976
France,April,1985,0.735,0.36879999999999996
France,May,1985,-0.363,-0.7254
France,June,1985,-0.65,0.3492
France,July,1985,1.29,1.3599999999999999
France,August,1985,-0.214,0.4106000000000001
France,September,1985,1.781,0.7691999999999999
France,October,1985,0.972,0.2589999999999999
France,November,1985,-2.435,0.583
France,December,1985,1.343,0.5152
France,,1985,-1.339,
France,,1985,-0.32,
France,,1985,0.142,
France,,1985,0.106,
France,,1985,-0.353,
France,January,1986,0.622,0.2361999999999999
France,February,1986,-4.479,-1.302
France,March,1986,-0.478,-0.6235999999999999
France,April,1986,-2.109,-0.238
France,May,1986,1.22,-0.4164
France,June,1986,0.861,0.538
France,July,1986,0.454,1.6102
France,August,1986,-0.097,0.23959999999999998
France,September,1986,-0.517,0.5482
France,October,1986,1.764,0.6629999999999999
France,November,1986,1.204,0.7217999999999998
France,December,1986,0.887,0.7106
France,,1986,-0.838,
France,,1986,-0.456,
France,,1986,0.406,
France,,1986,0.817,
France,,1986,-0.018,
France,January,1987,-3.894,-0.8830000000000002
France,February,1987,-0.39,-1.5608
France,March,1987,-1.673,-0.8946
France,April,1987,1.815,0.13340000000000002
France,May,1987,-1.4,-0.8152000000000001
France,June,1987,-0.765,0.05799999999999996
France,July,1987,0.553,1.3290000000000002
France,August,1987,0.879,0.4098
France,September,1987,2.484,0.6786
France,October,1987,1.001,0.8925999999999998
France,November,1987,0.349,0.48259999999999986
France,December,1987,1.203,0.8084
France,,1987,-1.132,
France,,1987,-0.419,
France,,1987,0.222,
France,,1987,1.278,
France,,1987,-0.013,
France,January,1988,3.238,-0.6752
France,February,1988,0.646,-1.0535999999999999
France,March,1988,-0.061,-0.9962
France,April,1988,1.02,0.3396
France,May,1988,1.173,-0.3664
France,June,1988,0.102,-0.14560000000000006
France,July,1988,-0.155,0.5454000000000001
France,August,1988,0.91,0.34500000000000003
France,September,1988,0.036,0.5414
France,October,1988,1.493,1.1183999999999998
France,November,1988,-0.483,0.20879999999999993
France,December,1988,1.374,1.036
France,,1988,1.696,
France,,1988,0.711,
France,,1988,0.286,
France,,1988,0.349,
France,,1988,0.76,
France,January,1989,1.136,-0.635
France,February,1989,1.627,-0.5416000000000001
France,March,1989,2.755,-0.15800000000000008
France,April,1989,-0.873,0.11759999999999997
France,May,1989,2.57,0.64
France,June,1989,0.723,0.054199999999999936
France,July,1989,1.866,0.8016000000000002
France,August,1989,1.441,0.5838
France,September,1989,0.587,0.8741999999999999
France,October,1989,1.516,1.3492
France,November,1989,0.378,-0.19740000000000002
France,December,1989,1.603,1.282
France,,1989,1.379,
France,,1989,1.484,
France,,1989,1.343,
France,,1989,0.827,
France,,1989,1.258,
France,January,1990,1.715,0.5633999999999999
France,February,1990,4.623,0.40540000000000004
France,March,1990,2.219,0.5523999999999999
France,April,1990,-0.268,-0.083
France,May,1990,2.535,1.2196
France,June,1990,0.084,0.20099999999999993
France,July,1990,1.391,0.8218000000000002
France,August,1990,2.398,1.1062
France,September,1990,0.223,0.5626
France,October,1990,1.882,1.5312
France,November,1990,0.358,0.3612
France,December,1990,-1.434,0.7266
France,,1990,2.647,
France,,1990,1.495,
France,,1990,1.291,
France,,1990,0.821,
France,,1990,1.563,
France,January,1991,0.564,0.5517999999999998
France,February,1991,-2.026,0.8960000000000001
France,March,1991,2.519,1.1517999999999997
France,April,1991,-0.465,0.24579999999999996
France,May,1991,-1.355,0.7046
France,June,1991,-0.854,-0.14200000000000007
France,July,1991,1.552,1.0414
France,August,1991,2.685,1.6625999999999999
France,September,1991,2.268,1.1196
France,October,1991,-0.791,1.0201999999999998
France,November,1991,0.03,0.1264
France,December,1991,-0.746,0.4
France,,1991,-0.965,
France,,1991,0.233,
France,,1991,1.128,
France,,1991,0.502,
France,,1991,0.224,
France,January,1992,-0.456,1.2393999999999998
France,February,1992,0.798,1.1336
France,March,1992,1.095,1.7053999999999998
France,April,1992,0.464,-0.024399999999999998
France,May,1992,2.414,1.4674
France,June,1992,0.014,0.013799999999999943
France,July,1992,1.069,1.1446
France,August,1992,2.32,1.9507999999999999
France,September,1992,-0.019,0.619
France,October,1992,-1.772,0.46559999999999996
France,November,1992,2.281,0.5128
France,December,1992,0.789,0.31720000000000004
France,,1992,-0.135,
France,,1992,1.324,
France,,1992,1.134,
France,,1992,0.163,
France,,1992,0.621,
France,January,1993,2.496,1.091
France,February,1993,-0.578,0.8888
France,March,1993,0.35,1.7875999999999999
France,April,1993,1.379,0.04740000000000002
France,May,1993,1.419,1.5166
France,June,1993,1.355,0.2643999999999999
France,July,1993,-0.433,1.0890000000000002
France,August,1993,0.798,1.9284
France,September,1993,-0.945,0.42279999999999995
France,October,1993,-1.181,-0.06920000000000015
France,November,1993,-1.907,0.22800000000000004
France,December,1993,1.912,0.4248
France,,1993,0.902,
France,,1993,1.049,
France,,1993,0.573,
France,,1993,-1.344,
France,,1993,0.295,
France,January,1994,1.971,1.2579999999999998
